127.0.0.1 - - [23/Oct/2020:00:06:14 +0200] "GET / HTTP/1.1" 404 640
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:15 +0200] "GET /spring-security-demo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:15 +0200] "GET /spring-security-demo/showMyLoginPage HTTP/1.1" 200 2282
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:24 +0200] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:24 +0200] "GET /spring-security-demo/ HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:27 +0200] "POST /spring-security-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:27 +0200] "GET /spring-security-demo/showMyLoginPage?logout HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:38 +0200] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:38 +0200] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:46 +0200] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:46 +0200] "GET /spring-security-demo/ HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:49 +0200] "POST /spring-security-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:49 +0200] "GET /spring-security-demo/showMyLoginPage?logout HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:58 +0200] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:06:58 +0200] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:07:06 +0200] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:07:06 +0200] "GET /spring-security-demo/ HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:07:10 +0200] "POST /spring-security-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:07:10 +0200] "GET /spring-security-demo/showMyLoginPage?logout HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:07:14 +0200] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:00:07:14 +0200] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2426
